tradition,raga,raga_id,mbid,metadata_path,feature_dir
Carnatic,Mōhanaṁ,39821826-3327-41d7-9cd5-e22fe7b08360,dc1d1aa8-0ee2-4d2b-a506-c62fa00779ea,RagaDataset/Carnatic/audio/39821826-3327-41d7-9cd5-e22fe7b08360/Sumithra_Vasudev/Sumitra_Vasudev_at_Arkay/Mati_Matiki/Mati_Matiki,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/39821826-3327-41d7-9cd5-e22fe7b08360
Carnatic,Mōhanaṁ,39821826-3327-41d7-9cd5-e22fe7b08360,8bb04922-2421-47cc-b464-7d556c91a952,RagaDataset/Carnatic/audio/39821826-3327-41d7-9cd5-e22fe7b08360/Kunnakkudi_M_Balamuralikrishna/December_Season_2007/Nannu_Palimpa/Nannu_Palimpa,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/39821826-3327-41d7-9cd5-e22fe7b08360
Carnatic,Tōḍi,a9413dff-91d1-4e29-ad92-c04019dce5b8,fee6e655-7741-4945-8a01-c2f3d12566e7,RagaDataset/Carnatic/audio/a9413dff-91d1-4e29-ad92-c04019dce5b8/Amritha_Murali/December_Season_2008/Karuna_Judavamma/Karuna_Judavamma,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/a9413dff-91d1-4e29-ad92-c04019dce5b8
Carnatic,Bhairavi,123b09bd-9901-4e64-a65a-10b02c9e0597,66388b2a-d7d5-44d1-8464-4b5eeff1af6a,RagaDataset/Carnatic/audio/123b09bd-9901-4e64-a65a-10b02c9e0597/T__M__Krishna/December_Season_2009/Balagopala_Special_Note_by_T_M_Krishna/Balagopala_Special_Note_by_T_M_Krishna,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/123b09bd-9901-4e64-a65a-10b02c9e0597
Carnatic,Śankarābharaṇaṁ,a2f9f182-0ceb-4531-b286-b840b47a54b8,dc885903-1ee0-418a-9f49-6abd0923cd41,RagaDataset/Carnatic/audio/a2f9f182-0ceb-4531-b286-b840b47a54b8/Amrutha_Venkatesh/December_Season_2007/Akshayalinga_Vibho/Akshayalinga_Vibho,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/a2f9f182-0ceb-4531-b286-b840b47a54b8
Carnatic,Kāpi,09c179f3-8b19-4792-a852-e9fa0090e409,5853dea4-9f86-4f62-8f47-abc520f3493e,"RagaDataset/Carnatic/audio/09c179f3-8b19-4792-a852-e9fa0090e409/O__S__Thyagarajan/Live_At_Sree_Rama_Seva_Mandali,_Bangalore/Jagadodharana/Jagadodharana",/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/09c179f3-8b19-4792-a852-e9fa0090e409
Carnatic,Kēdāragauḷa,df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4,e04099ec-199a-4c5e-ac5f-5fac19759add,RagaDataset/Carnatic/audio/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4/Gayathri_Venkataraghavan/December_Season_2006/Parakela_Nannu/Parakela_Nannu,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4
Carnatic,Tōḍi,a9413dff-91d1-4e29-ad92-c04019dce5b8,3e9f9dc3-7f64-4561-a2c1-80dd9fa66ebc,RagaDataset/Carnatic/audio/a9413dff-91d1-4e29-ad92-c04019dce5b8/T__M__Krishna/December_Season_1999/Vazhi_Maraittirukkude/Vazhi_Maraittirukkude,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/a9413dff-91d1-4e29-ad92-c04019dce5b8
Carnatic,Kalyāṇi,bf4662d4-25c3-4cad-9249-4de2dc513c06,30ed13b0-58ac-48af-b8ac-f2c14ddbd71a,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sanjay_Subrahmanyan/Live_at_Vani_Mahal/Paarengum/Paarengum,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/bf4662d4-25c3-4cad-9249-4de2dc513c06
Carnatic,Aṭāna,6345e8fe-7061-4bdc-842c-dcfd4a379820,bbee764d-7406-47ce-821a-a82030b89eca,RagaDataset/Carnatic/audio/6345e8fe-7061-4bdc-842c-dcfd4a379820/S__Sowmya/Bharat_Sangeet_Utsav/Anupama_Gunambudhi/Anupama_Gunambudhi,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820
Carnatic,Aṭāna,6345e8fe-7061-4bdc-842c-dcfd4a379820,d793dcb8-74c4-4280-a4f5-4e89e266f4c4,"RagaDataset/Carnatic/audio/6345e8fe-7061-4bdc-842c-dcfd4a379820/K__V__Narayanaswami/K__V__Narayanaswami_concert_at_Dayton,_1993/Anupamagunambudi/Anupamagunambudi",/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820
Carnatic,Aṭāna,6345e8fe-7061-4bdc-842c-dcfd4a379820,5c1ae6ac-ada7-45df-b807-812a81f20cad,RagaDataset/Carnatic/audio/6345e8fe-7061-4bdc-842c-dcfd4a379820/K__V__Narayanaswami/Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_I/Elani_Dayaradu/Elani_Dayaradu,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820
Carnatic,Kāpi,09c179f3-8b19-4792-a852-e9fa0090e409,16fbd94c-b09c-44d9-8d0f-841ada1b62c7,RagaDataset/Carnatic/audio/09c179f3-8b19-4792-a852-e9fa0090e409/Kunnakkudi_M_Balamuralikrishna/December_Season_2009/Aravinda_Pada_Malar/Aravinda_Pada_Malar,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/09c179f3-8b19-4792-a852-e9fa0090e409
Carnatic,Kalyāṇi,bf4662d4-25c3-4cad-9249-4de2dc513c06,ae79b563-7d5e-4c31-b2f9-7cf7db1da1c1,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sanjay_Subrahmanyan/Sanjay_at_Sastri_Hall/Vanajakshi_-_Varnam/Vanajakshi_-_Varnam,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/bf4662d4-25c3-4cad-9249-4de2dc513c06
Carnatic,Kēdāragauḷa,df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4,996e9edf-ea0b-4ff6-a062-3cc7f563b56e,RagaDataset/Carnatic/audio/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4/Unnikrishnan/December_Season_2005/Sami_Daya_Juda/Sami_Daya_Juda,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4
Carnatic,Kalyāṇi,bf4662d4-25c3-4cad-9249-4de2dc513c06,d25f460b-3e95-406c-bb65-8c1969e2c49c,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Gayathri_Venkataraghavan/December_Season_2008/Kanden_Kaliten/Kanden_Kaliten,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/bf4662d4-25c3-4cad-9249-4de2dc513c06
Carnatic,Aṭāna,6345e8fe-7061-4bdc-842c-dcfd4a379820,df4ee485-0df2-46ae-9587-7f942dc2ffcb,RagaDataset/Carnatic/audio/6345e8fe-7061-4bdc-842c-dcfd4a379820/Maharajapuram_S_Ramachandran/December_Season_2009/Elara_Nee_Dayaraadu/Elara_Nee_Dayaraadu,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820
Carnatic,Śankarābharaṇaṁ,a2f9f182-0ceb-4531-b286-b840b47a54b8,938abacd-5797-46d5-9b70-5512ef4d2dac,RagaDataset/Carnatic/audio/a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/a2f9f182-0ceb-4531-b286-b840b47a54b8
Carnatic,Mōhanaṁ,39821826-3327-41d7-9cd5-e22fe7b08360,0a1c2ae7-e933-458d-afac-fa081338d5de,RagaDataset/Carnatic/audio/39821826-3327-41d7-9cd5-e22fe7b08360/Chaitra_Sairam/Chaitra_Sairam_at_Arkay/Rakta_Ganapatim/Rakta_Ganapatim,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/39821826-3327-41d7-9cd5-e22fe7b08360
Carnatic,Bhairavi,123b09bd-9901-4e64-a65a-10b02c9e0597,3cbe1ecb-896f-48d3-948d-bc0c76dc2687,RagaDataset/Carnatic/audio/123b09bd-9901-4e64-a65a-10b02c9e0597/Sikkil_Gurucharan/December_Season_2006/Keechu_Keechu/Keechu_Keechu,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/123b09bd-9901-4e64-a65a-10b02c9e0597
Carnatic,Kāṁbhōji,f0866e71-33b2-47db-ab75-0808c41f2401,f6c659e6-abbf-4eb8-aacb-105056d7b47f,RagaDataset/Carnatic/audio/f0866e71-33b2-47db-ab75-0808c41f2401/Sumithra_Vasudev/December_Season_2010/Sarasijanabha/Sarasijanabha,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/f0866e71-33b2-47db-ab75-0808c41f2401
Carnatic,Śankarābharaṇaṁ,a2f9f182-0ceb-4531-b286-b840b47a54b8,e192bf26-c5eb-477a-9899-406732a7893c,RagaDataset/Carnatic/audio/a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Compositions_Of_Muthuswami_Dikshitar/Sundareshwaraya_Namasthe/Sundareshwaraya_Namasthe,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/a2f9f182-0ceb-4531-b286-b840b47a54b8
Carnatic,Kalyāṇi,bf4662d4-25c3-4cad-9249-4de2dc513c06,a03969da-2995-4991-9634-2b8904d4a2ad,RagaDataset/Carnatic/audio/bf4662d4-25c3-4cad-9249-4de2dc513c06/Sikkil_Gurucharan/December_Season_2004/Talli_Ninnu_Nera/Talli_Ninnu_Nera,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/bf4662d4-25c3-4cad-9249-4de2dc513c06
Carnatic,Kāpi,09c179f3-8b19-4792-a852-e9fa0090e409,31ca1f76-ce7a-42f4-b429-ca43ef6b2ba1,RagaDataset/Carnatic/audio/09c179f3-8b19-4792-a852-e9fa0090e409/Sikkil_Gurucharan/December_Season_2011/Meevalla_Gunadosha/Meevalla_Gunadosha,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/09c179f3-8b19-4792-a852-e9fa0090e409
Carnatic,Rītigauḷa,4ce0b18d-f4df-41cf-9b40-9166199506b4,cfaa7cb6-4a84-4a93-b3a9-371f5bf1b0bb,RagaDataset/Carnatic/audio/4ce0b18d-f4df-41cf-9b40-9166199506b4/Aruna_Sairam/Madrasil_Margazhi_2006/Tatvamariya_Tarama/Tatvamariya_Tarama,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/4ce0b18d-f4df-41cf-9b40-9166199506b4
Carnatic,Rītigauḷa,4ce0b18d-f4df-41cf-9b40-9166199506b4,5fa0bcfd-c71e-4d6f-940e-0cef6fbc2a32,RagaDataset/Carnatic/audio/4ce0b18d-f4df-41cf-9b40-9166199506b4/Akkarai_Sisters/Akkarai_Sisters_at_Arkay/Koti_Janmani/Koti_Janmani,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/4ce0b18d-f4df-41cf-9b40-9166199506b4
Carnatic,Kēdāragauḷa,df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4,a3dc0349-d629-4ccf-88be-4b4e9bedb104,RagaDataset/Carnatic/audio/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4/Tanjore_S__Kalyanaraman/Live_Concert_1974/Venuganaloluni/Venuganaloluni,/home/izpiz/coding/automatic-raga-recognition/dataset/RagaDataset/Carnatic/features/df85a0a5-b1a8-42f1-a87b-3d7c7ee33fb4
