tradition,relative_path,filename,extension,size_bytes
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.tonic,Sri_Dakshinamurte.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.pitch,Sri_Dakshinamurte.pitch,.pitch,7417695
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.pitchSilIntrpPP,Sri_Dakshinamurte.pitchSilIntrpPP,.pitchsilintrppp,15661800
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.tonicFine,Sri_Dakshinamurte.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.taniSegKNN,Sri_Dakshinamurte.taniSegKNN,.tanisegknn,52
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/Tasmai_Sri_Gurave_Namaha/Sri_Dakshinamurte/Sri_Dakshinamurte.flatSegNyas,Sri_Dakshinamurte.flatSegNyas,.flatsegnyas,21632
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.pitchSilIntrpPP,Sankaracharyam.pitchSilIntrpPP,.pitchsilintrppp,32974900
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.tonicFine,Sankaracharyam.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.pitch,Sankaracharyam.pitch,.pitch,15975927
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.tonic,Sankaracharyam.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.taniSegKNN,Sankaracharyam.taniSegKNN,.tanisegknn,18
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sumithra_Vasudev/December_Season_2011/Sankaracharyam/Sankaracharyam.flatSegNyas,Sankaracharyam.flatSegNyas,.flatsegnyas,43596
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.tonicFine,Dakshinamurte.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.pitch,Dakshinamurte.pitch,.pitch,3046659
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.pitchSilIntrpPP,Dakshinamurte.pitchSilIntrpPP,.pitchsilintrppp,6548850
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.taniSegKNN,Dakshinamurte.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.flatSegNyas,Dakshinamurte.flatSegNyas,.flatsegnyas,8009
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/T__M__Krishna/December_Season_2008/Dakshinamurte/Dakshinamurte.tonic,Dakshinamurte.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.pitch,Emi_Neramu.pitch,.pitch,9737625
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.pitchSilIntrpPP,Emi_Neramu.pitchSilIntrpPP,.pitchsilintrppp,20445700
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.tonic,Emi_Neramu.tonic,.tonic,10
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.flatSegNyas,Emi_Neramu.flatSegNyas,.flatsegnyas,22644
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.taniSegKNN,Emi_Neramu.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/M_S__Subbulakshmi/Paddhatti/Emi_Neramu/Emi_Neramu.tonicFine,Emi_Neramu.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.taniSegKNN,Manasu_Swamidhinamayi.taniSegKNN,.tanisegknn,34
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.flatSegNyas,Manasu_Swamidhinamayi.flatSegNyas,.flatsegnyas,23839
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.pitch,Manasu_Swamidhinamayi.pitch,.pitch,10276679
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.pitchSilIntrpPP,Manasu_Swamidhinamayi.pitchSilIntrpPP,.pitchsilintrppp,21415800
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.tonic,Manasu_Swamidhinamayi.tonic,.tonic,9
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Gayathri_Venkataraghavan/December_Season_2005/Manasu_Swamidhinamayi/Manasu_Swamidhinamayi.tonicFine,Manasu_Swamidhinamayi.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.taniSegKNN,Undan_Paada_Pankayam.taniSegKNN,.tanisegknn,0
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.flatSegNyas,Undan_Paada_Pankayam.flatSegNyas,.flatsegnyas,8631
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.tonicFine,Undan_Paada_Pankayam.tonicFine,.tonicfine,25
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.pitchSilIntrpPP,Undan_Paada_Pankayam.pitchSilIntrpPP,.pitchsilintrppp,6072150
Carnatic,a2f9f182-0ceb-4531-b286-b840b47a54b8/Sanjay_Subrahmanyan/Live_at_Kamarajar_Hall/Undan_Paada_Pankayam/Undan_Paada_Pankayam.pitch,Undan_Paada_Pankayam.pitch,.pitch,2826998
