tradition,raga,count
Carnatic,Aṭāna,12
Carnatic,Behāg,12
Carnatic,Bhairavi,12
Carnatic,Bilahari,12
Carnatic,Bēgaḍa,12
Carnatic,Dhanyāsi,12
Carnatic,Dēvagāndhāri,12
Carnatic,Gauḷa,12
Carnatic,Harikāmbhōji,12
Carnatic,Hussēnī,12
Carnatic,Kalyāṇi,12
Carnatic,Kamās,12
Carnatic,Karaharapriya,12
Carnatic,Kāmavardani,12
Carnatic,Kānaḍa,12
Carnatic,Kāpi,12
Carnatic,Kāṁbhōji,12
Carnatic,Kēdāragauḷa,12
Carnatic,Madhyamāvati,12
Carnatic,Mukhāri,12
Carnatic,Māyāmāḷavagauḷa,12
Carnatic,Mōhanaṁ,12
Carnatic,Nāṭa,12
Carnatic,Nāṭakurinji,12
Carnatic,Pūrvīkaḷyāṇi,12
Carnatic,Rītigauḷa,12
Carnatic,Sahānā,12
Carnatic,Sencuruṭṭi,12
Carnatic,Sindhubhairavi,12
Carnatic,Suraṭi,12
Carnatic,Sāma,12
Carnatic,Sāvēri,12
Carnatic,Tōḍi,12
Carnatic,Varāḷi,12
Carnatic,Yadukula kāṁbōji,12
Carnatic,Ānandabhairavi,12
Carnatic,Śankarābharaṇaṁ,12
Carnatic,Śrī,12
Carnatic,Śrīranjani,12
Carnatic,Ṣanmukhapriya,12
Hindustani,Ahira bhairav,10
Hindustani,Alahaiyā bilāval,10
Hindustani,Bairāgi,10
Hindustani,Basant,10
Hindustani,Bhairav,10
Hindustani,Bhūp,10
Hindustani,Bihāg,10
Hindustani,Bilāsakhānī tōḍī,10
Hindustani,Bāgēśrī,10
Hindustani,Darbāri,10
Hindustani,Dēś,10
Hindustani,Gauḍ malhār,10
Hindustani,Hamsadhvāni,10
Hindustani,Jōg,10
Hindustani,Khamāj,10
Hindustani,Kēdār,10
Hindustani,Lalit,10
Hindustani,Madhukauns,10
Hindustani,Madhuvanti,10
Hindustani,Miyān malhār,10
Hindustani,Mālkauns,10
Hindustani,Mārvā,10
Hindustani,Mārūbihāg,10
Hindustani,Puriyā dhanaśrī,10
Hindustani,Rāgēśrī,10
Hindustani,Tōḍī,10
Hindustani,Yaman kalyāṇ,10
Hindustani,Ābhōgī,10
Hindustani,Śrī,10
Hindustani,Śuddh sāraṅg,10
