raga,Carnatic,Hindustani
Ahira bhairav,0,10
Alahaiyā bilāval,0,10
Aṭāna,12,0
Bairāgi,0,10
Basant,0,10
Behāg,12,0
Bhairav,0,10
Bhairavi,12,0
Bhūp,0,10
Bihāg,0,10
Bilahari,12,0
Bilāsakhānī tōḍī,0,10
Bāgēśrī,0,10
Bēgaḍa,12,0
Darbāri,0,10
Dhanyāsi,12,0
Dēvagāndhāri,12,0
Dēś,0,10
Gauḍ malhār,0,10
Gauḷa,12,0
Hamsadhvāni,0,10
Harikāmbhōji,12,0
Hussēnī,12,0
Jōg,0,10
Kalyāṇi,12,0
Kamās,12,0
Karaharapriya,12,0
Khamāj,0,10
Kāmavardani,12,0
Kānaḍa,12,0
Kāpi,12,0
Kāṁbhōji,12,0
Kēdār,0,10
Kēdāragauḷa,12,0
Lalit,0,10
Madhukauns,0,10
Madhuvanti,0,10
Madhyamāvati,12,0
Miyān malhār,0,10
Mukhāri,12,0
Mālkauns,0,10
Mārvā,0,10
Mārūbihāg,0,10
Māyāmāḷavagauḷa,12,0
Mōhanaṁ,12,0
Nāṭa,12,0
Nāṭakurinji,12,0
Puriyā dhanaśrī,0,10
Pūrvīkaḷyāṇi,12,0
Rāgēśrī,0,10
Rītigauḷa,12,0
Sahānā,12,0
Sencuruṭṭi,12,0
Sindhubhairavi,12,0
Suraṭi,12,0
Sāma,12,0
Sāvēri,12,0
Tōḍi,12,0
Tōḍī,0,10
Varāḷi,12,0
Yadukula kāṁbōji,12,0
Yaman kalyāṇ,0,10
Ābhōgī,0,10
Ānandabhairavi,12,0
Śankarābharaṇaṁ,12,0
Śrī,12,10
Śrīranjani,12,0
Śuddh sāraṅg,0,10
Ṣanmukhapriya,12,0
