class,Aṭāna,Bhairavi,Kalyāṇi,Kāpi,Kāṁbhōji,Kēdāragauḷa,Mōhanaṁ,Rītigauḷa,Tōḍi,Śankarābharaṇaṁ,Bhairav,Jōg,Bihāg,Bilāsakhānī tōḍī,Darbāri,Khamāj,Dēś,Miyān malhār,Yaman kalyāṇ,Śrī
Aṭāna,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhairavi,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalyāṇi,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kāpi,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kāṁbhōji,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kēdāragauḷa,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mōhanaṁ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Rītigauḷa,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Tōḍi,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Śankarābharaṇaṁ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Bhairav,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jōg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bihāg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bilāsakhānī tōḍī,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Darbāri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Khamāj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dēś,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miyān malhār,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yaman kalyāṇ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Śrī,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
