class,raga,precision,recall,f1,support
0,Aṭāna,1.0,0.6666666666666666,0.8,3
1,Bhairavi,1.0,1.0,1.0,3
2,Kalyāṇi,1.0,0.6666666666666666,0.8,3
3,Kāpi,1.0,1.0,1.0,3
4,Kāṁbhōji,1.0,1.0,1.0,3
5,Kēdāragauḷa,0.75,1.0,0.8571428571428571,3
6,Mōhanaṁ,1.0,1.0,1.0,3
7,Rītigauḷa,1.0,1.0,1.0,3
8,Tōḍi,1.0,1.0,1.0,3
9,Śankarābharaṇaṁ,1.0,1.0,1.0,3
10,Bhairav,1.0,1.0,1.0,1
11,Jōg,1.0,1.0,1.0,1
12,Bihāg,1.0,1.0,1.0,1
13,Bilāsakhānī tōḍī,1.0,1.0,1.0,1
14,Darbāri,1.0,1.0,1.0,1
15,Khamāj,1.0,1.0,1.0,1
16,Dēś,1.0,1.0,1.0,1
17,Miyān malhār,1.0,1.0,1.0,1
18,Yaman kalyāṇ,0.5,1.0,0.6666666666666666,1
19,Śrī,1.0,1.0,1.0,1
macro avg,,0.9625,0.9666666666666666,0.9561904761904761,40
weighted avg,,0.96875,0.95,0.950952380952381,40
