tradition,raga,class_idx,raga_id,recording,split,n_windows
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/S__Sowmya/Bharat_Sangeet_Utsav/Anupama_Gunambudhi/Anupama_Gunambudhi.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Nithyasree_Mahadevan/December_Season_2006/Sri_Vaidyanatham/Sri_Vaidyanatham.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Aruna_Sairam/Madrasil_Margazhi_2005/Ela_Ni_Dayaradu/Ela_Ni_Dayaradu.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Musiri_Subramania_Iyer/Paddhatti/Sri_Kumara/Sri_Kumara.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Kunnakkudi_M_Balamuralikrishna/December_Season_2006/Ilalo_Pranatartiharudanuchu/Ilalo_Pranatartiharudanuchu.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Gayathri_Venkataraghavan/December_Season_2006/Sri_Rama_Nama_Bhajanai/Sri_Rama_Nama_Bhajanai.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Gayathri_Girish/December_Season_2007/Anupamagunabhudhi/Anupamagunabhudhi.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/T__Brinda/All_Time_Favourites_-_Vol_2/Valaputala/Valaputala.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/K__V__Narayanaswami/Master_Piece_-_Live_Concert_at_Sri_Krishna_Gana_Sabha_Vol_I/Elani_Dayaradu/Elani_Dayaradu.pitch,train,200
Carnatic,Aṭāna,0,6345e8fe-7061-4bdc-842c-dcfd4a379820,/kaggle/input/datasets/izpiz06/ragadataset/RagaDataset/Carnatic/features/6345e8fe-7061-4bdc-842c-dcfd4a379820/Maharajapuram_S_Ramachandran/December_Season_2009/Elara_Nee_Dayaraadu/Elara_Nee_Dayaraadu.pitch,held_out,200
