epoch,train_loss,val_loss,train_accuracy,val_window_accuracy,val_recording_accuracy,learning_rate,epoch_time
1,2.5227306940820484,0.27575,0.18444444444444444,2.2028538761138914,0.15,0.0001,1201.850982427597
2,1.950790808333291,0.41325,0.36088888888888887,1.8587961254119874,0.25,0.0001,1187.3116762638092
3,1.4247386869457033,0.546375,0.5411111111111111,1.401750575184822,0.475,0.0001,1187.7552535533905
4,1.036517622338401,0.607875,0.6635277777777778,1.2239516286849976,0.65,0.0001,1213.0882620811462
5,0.8161500572164854,0.660125,0.7374444444444445,1.080063366174698,0.65,0.0001,1188.758157491684
6,0.6642032807072004,0.695375,0.7880277777777778,0.9912685823440551,0.8,0.0001,1193.2849962711334
7,0.5508171031541295,0.718875,0.8243611111111111,0.9114025710225105,0.825,0.0001,1214.6710789203644
8,0.5156212286816703,0.717625,0.8348333333333333,0.9201357638835908,0.775,0.0001,1208.0894403457642
9,0.4270845931271712,0.725375,0.8653888888888889,0.9468147095441818,0.875,0.0001,1188.0193054676056
10,0.4103196282684803,0.732875,0.8709444444444444,0.8919269730746746,0.825,0.0001,1203.0107650756836
11,0.3440437962777085,0.726625,0.8907777777777778,0.8997857122421264,0.8,0.0001,1187.4793410301208
12,0.31159613500866623,0.732,0.8977222222222222,0.9604167268276215,0.8,0.0001,1192.6876530647278
13,0.36973072351680863,0.7345,0.8805277777777778,0.8812105881273746,0.8,0.0001,1211.8508503437042
14,0.2718195155676868,0.75875,0.91175,0.8609803456962108,0.825,0.0001,1188.7371289730072
15,0.24893034247060616,0.7275,0.9198888888888889,0.9591951793730259,0.825,0.0001,1187.4096193313599
16,0.2275114407307572,0.734375,0.9273055555555556,0.9228680696338415,0.85,0.0001,1212.8280086517334
17,0.21384848596321213,0.7465,0.9294722222222223,0.9075930270403624,0.825,0.0001,1188.8564889431
18,0.19372633500231637,0.743875,0.9381111111111111,1.008252991524525,0.875,0.0001,1187.1556084156036
19,0.17999302372439868,0.738375,0.9428055555555556,1.0033206372223795,0.85,0.0001,1211.6408927440643
20,0.1708275875904494,0.755625,0.9451111111111111,0.9301873087286949,0.9,0.0001,1188.6721448898315
